"ind","lat","lon","species","dbh"
"T_ACEPEN_H01",42.46727603,-72.21235198,"ACEPEN","2.9"
"T_ACEPEN_H02",42.46731299,-72.21236397,"ACEPEN","4.2"
"T_ACEPEN_H03",42.46771197,-72.21231099,"ACEPEN","2"
"T_ACEPEN_H04",42.46739203,-72.21238098,"ACEPEN","1.5"
"T_ACEPEN_H05",42.46738197,-72.21244602,"ACEPEN","4.8"
"T_ACEPEN_H09",42.46773301,-72.21230999,"ACEPEN","1.2"
"T_ACEPEN_H10",42.46707704,-72.21260704,"ACEPEN","2.2,1.9"
"T_ACEPEN_H11",42.46696497,-72.21260796,"ACEPEN","2"
"T_ACEPEN_H12",42.46697,-72.21293603,"ACEPEN","1.2"
"T_ACEPEN_H13",42.46689599,-72.21302597,"ACEPEN",""
"T_ACEPEN_H16",42.46624002,-72.21391303,"ACEPEN",""
"T_ACESAC_H01",42.46802604,-72.21278801,"ACESAC",""
"T_ACESAC_H02",42.46692399,-72.21246799,"ACESAC","2.6"
"T_ACESAC_H03",42.46685199,-72.21240797,"ACESAC","6.1"
"T_ACESAC_H04",42.46654697,-72.21227797,"ACESAC","7"
"T_ACESAC_H08",42.46654303,-72.21268399,"ACESAC","4.2"
"T_ACESAC_H09",42.46654898,-72.21232298,"ACESAC","2"
"T_ACESAC_H10",42.466539,-72.21237201,"ACESAC","2.4"
"T_ACESAC_H11",42.46707796,-72.21264803,"ACESAC","2.5"
"T_ACESAC_H12",42.46806703,-72.21269497,"ACESAC","6.9"
"T_ACESAC_H13",42.46615503,-72.21252498,"ACESAC","2.4"
"T_ACESAC_H14",42.46593802,-72.21247301,"ACESAC","2.5"
"T_ACESAC_H15",42.46596904,-72.21251903,"ACESAC","2.1"
"T_ACESAC_H16",42.46601799,-72.21249799,"ACESAC","3.5"
"T_BETLEN_H01",42.46721601,-72.21253001,"BETLEN","4.1"
"T_BETLEN_H02",42.46699104,-72.21229197,"BETLEN","2.6"
"T_BETLEN_H03",42.46798497,-72.21265499,"BETLEN","2.9"
"T_BETLEN_H04",42.46834304,-72.21254501,"BETLEN","3.3"
"T_BETLEN_H05",42.46848897,-72.21254803,"BETLEN","4.5"
"T_BETLEN_H06",42.468796,-72.212542,"BETLEN","4"
"T_BETLEN_H07",42.46733696,-72.21253504,"BETLEN","4.3"
"T_BETLEN_H11",42.46710302,-72.21230102,"BETLEN","2.1"
"T_BETLEN_H12",42.46796502,-72.21286696,"BETLEN","2.5"
"T_BETLEN_H13",42.468264,-72.21282799,"BETLEN","2.7"
"T_BETLEN_H15",42.46837498,-72.21303804,"BETLEN","2.4"
"T_BETLEN_H16",42.46838202,-72.21306503,"BETLEN","3.5"
"T_CORCOR_H01",42.46836601,-72.21319101,"CORCOR",""
"T_CORCOR_H02",42.46693597,-72.21285598,"CORCOR",""
"T_CORCOR_H03",42.46689398,-72.21275599,"CORCOR",""
"T_CORCOR_H04",42.46642199,-72.213132,"CORCOR",""
"T_CORCOR_H05",42.46655904,-72.21319998,"CORCOR",""
